Date,chumphon
2004-01-01,1233.00
2004-02-01,1710.00
2004-03-01,2989.00
2004-04-01,139.00
2004-05-01,2164.00
2004-06-01,4944.00
2004-07-01,14017.00
2004-08-01,19356.00
2004-09-01,26777.00
2004-10-01,14645.00
2004-11-01,23032.00
2004-12-01,5316.00
2005-05-01,4500.00
2005-06-01,9164.00
2005-07-01,18381.00
2005-08-01,41274.00
2005-09-01,13753.00
2005-10-01,4583.00
2006-05-01,1597.00
2006-06-01,9631.00
2006-07-01,26849.00
2006-08-01,25552.00
2006-09-01,7486.00
2006-10-01,2249.00
2006-11-01,524.00
2006-12-01,973.00
2007-02-01,1602.00
2007-03-01,668.00
2007-05-01,5208.00
2007-06-01,15890.00
2007-07-01,37522.00
2007-08-01,43798.00
2007-09-01,16424.00
2007-10-01,3071.00
2007-11-01,5476.00
2007-12-01,3873.00
2008-05-01,5100.00
2008-06-01,15862.00
2008-07-01,20107.00
2008-08-01,27570.00
2008-09-01,23496.00
2008-10-01,3802.00
2008-11-01,3279.00
2008-12-01,1368.00
2009-01-01,2517.00
2009-02-01,2517.00
2009-03-01,2517.00
2009-05-01,3831.00
2009-06-01,9257.00
2009-07-01,35753.00
2009-08-01,35778.00
2009-09-01,13984.00
2009-10-01,9847.00
2009-11-01,4260.00
2009-12-01,2517.00
2010-01-01,33.00
2010-03-01,2632.00
2010-04-01,26.00
2010-05-01,2143.00
2010-06-01,1256.00
2010-07-01,3393.00
2010-08-01,24515.00
2010-09-01,12810.00
2010-10-01,9701.00
2010-11-01,9153.00
2010-12-01,469.00
2011-06-01,6468.00
2011-07-01,9670.00
2011-08-01,18707.00
2011-09-01,13030.00
2011-10-01,1492.00
2011-11-01,1660.00
2011-12-01,5065.00
2012-01-01,3323.00
2012-02-01,2135.00
2012-03-01,726.00
2012-04-01,1782.00
2012-05-01,4291.00
2012-06-01,11674.00
2012-07-01,20542.00
2012-08-01,21147.00
2012-09-01,25020.00
2012-10-01,10023.00
2012-11-01,4401.00
2012-12-01,4962.00
2013-01-01,6822.00
2013-02-01,4955.00
2013-06-01,6975.00
2013-07-01,12133.00
2013-08-01,38330.00
2013-09-01,32752.00
2013-10-01,8944.00
2013-11-01,9630.00
2013-12-01,6505.00
2014-01-01,605.00
2014-02-01,907.00
2014-03-01,453.00
2014-04-01,302.00
2014-05-01,756.00
2014-06-01,5894.00
2014-07-01,29170.00
2014-08-01,79198.00
2014-09-01,23125.00
2014-10-01,8010.00
2014-11-01,1814.00
2014-12-01,907.00
2015-01-01,1282.00
2015-02-01,685.00
2015-03-01,100.00
2015-04-01,37.00
2015-05-01,212.00
2015-06-01,10072.00
2015-07-01,33900.00
2015-08-01,44905.00
2015-09-01,15935.00
2015-10-01,5901.00
2015-11-01,5216.00
2015-12-01,6250.00
2016-01-01,4323.00
2016-02-01,6320.00
2016-03-01,2709.00
2016-04-01,137.00
2016-05-01,328.00
2016-06-01,2928.00
2016-07-01,28086.00
2016-08-01,6813.00
2016-09-01,48334.00
2016-10-01,31671.00
2016-11-01,2052.00
2016-12-01,3106.00
2017-01-01,1702.00
2017-02-01,2137.00
2017-03-01,868.00
2017-04-01,114.00
2017-05-01,1143.00
2017-06-01,1257.00
2017-07-01,14556.00
2017-08-01,56863.00
2017-09-01,20919.00
2017-10-01,9951.00
2017-11-01,3839.00
2017-12-01,903.00
2018-01-01,7352.00
2018-02-01,9735.00
2018-03-01,6361.00
2018-04-01,139.00
2018-05-01,5897.00
2018-06-01,11051.00
2018-07-01,38167.00
2018-08-01,40163.00
2018-09-01,13620.00
2018-10-01,9333.00
2018-11-01,7770.00
2018-12-01,5185.00
2019-01-01,11081.00
2019-02-01,14192.00
2019-03-01,7054.00
2019-04-01,1111.00
2019-05-01,1055.00
2019-06-01,6304.00
2019-07-01,31661.00
2019-08-01,127534.00
2019-09-01,39410.00
2019-10-01,6471.00
2019-11-01,10526.00
2019-12-01,21330.00
2020-01-01,1546.00
2020-02-01,1893.00
2020-03-01,1231.00
2020-04-01,316.00
2020-05-01,8015.00
2020-06-01,39507.00
2020-07-01,86114.00
2020-08-01,61818.00
2020-09-01,82454.00
2020-10-01,30702.00
2020-11-01,978.00
2020-12-01,978.00
