month,product
2004-01-01,1233
2004-02-01,1710
2004-03-01,2989
2004-04-01,139
2004-05-01,2164
2004-06-01,4944
2004-07-01,14017
2004-08-01,19356
2004-09-01,26777
2004-10-01,14645
2004-11-01,23032
2004-12-01,5316
2005-05-01,4500
2005-06-01,9164
2005-07-01,18381
2005-08-01,41274
2005-09-01,13753
2005-10-01,4583
2006-05-01,1597
2006-06-01,9631
2006-07-01,26849
2006-08-01,25552
2006-09-01,7486
2006-10-01,2249
2006-11-01,524
2006-12-01,973
2007-02-01,1602
2007-03-01,668
2007-05-01,5208
2007-06-01,15890
2007-07-01,37522
2007-08-01,43798
2007-09-01,16424
2007-10-01,3071
2007-11-01,5476
2007-12-01,3873
2008-05-01,5100
2008-06-01,15862
2008-07-01,20107
2008-08-01,27570
2008-09-01,23496
2008-10-01,3802
2008-11-01,3279
2008-12-01,1368
2009-01-01,2517
2009-02-01,2517
2009-03-01,2517
2009-05-01,3831
2009-06-01,9257
2009-07-01,35753
2009-08-01,35778
2009-09-01,13984
2009-10-01,9847
2009-11-01,4260
2009-12-01,2517
2010-01-01,33
2010-03-01,2632
2010-04-01,26
2010-05-01,2143
2010-06-01,1256
2010-07-01,3393
2010-08-01,24515
2010-09-01,12810
2010-10-01,9701
2010-11-01,9153
2010-12-01,469
2011-06-01,6468
2011-07-01,9670
2011-08-01,18707
2011-09-01,13030
2011-10-01,1492
2011-11-01,1660
2011-12-01,5065
2012-01-01,3323
2012-02-01,2135
2012-03-01,726
2012-04-01,1782
2012-05-01,4291
2012-06-01,11674
2012-07-01,20542
2012-08-01,21147
2012-09-01,25020
2012-10-01,10023
2012-11-01,4401
2012-12-01,4962
2013-01-01,6822
2013-02-01,4955
2013-06-01,6975
2013-07-01,12133
2013-08-01,38330
2013-09-01,32752
2013-10-01,8944
2013-11-01,9630
2013-12-01,6505
2014-01-01,605
2014-02-01,907
2014-03-01,453
2014-04-01,302
2014-05-01,756
2014-06-01,5894
2014-07-01,29170
2014-08-01,79198
2014-09-01,23125
2014-10-01,8010
2014-11-01,1814
2014-12-01,907
2015-01-01,1282
2015-02-01,685
2015-03-01,100
2015-04-01,37
2015-05-01,212
2015-06-01,10072
2015-07-01,33900
2015-08-01,44905
2015-09-01,15935
2015-10-01,5901
2015-11-01,5216
2015-12-01,6250
2016-01-01,4323
2016-02-01,6320
2016-03-01,2709
2016-04-01,137
2016-05-01,328
2016-06-01,2928
2016-07-01,28086
2016-08-01,6813
2016-09-01,48334
2016-10-01,31671
2016-11-01,2052
2016-12-01,3106
2017-01-01,1702
2017-02-01,2137
2017-03-01,868
2017-04-01,114
2017-05-01,1143
2017-06-01,1257
2017-07-01,14556
2017-08-01,56863
2017-09-01,20919
2017-10-01,9951
2017-11-01,3839
2017-12-01,903
2018-01-01,7352
2018-02-01,9735
2018-03-01,6361
2018-04-01,139
2018-05-01,5897
2018-06-01,11051
2018-07-01,38167
2018-08-01,40163
2018-09-01,13620
2018-10-01,9333
2018-11-01,7770
2018-12-01,5185
2019-01-01,11081
2019-02-01,14192
2019-03-01,7054
2019-04-01,1111
2019-05-01,1055
2019-06-01,6304
2019-07-01,31661
2019-08-01,127534
2019-09-01,39410
2019-10-01,6471
2019-11-01,10526
2019-12-01,21330
2020-01-01,1546
2020-02-01,1893
2020-03-01,1231
2020-04-01,316
2020-05-01,8015
2020-06-01,39507
2020-07-01,86114
2020-08-01,61818
2020-09-01,82454
2020-10-01,30702
2020-11-01,978
2020-12-01,978
